[0] Training Error = 0.018167
[1] Training Error = 0.016733
[2] Training Error = 0.032383
[3] Training Error = 0.040767
[4] Training Error = 0.036200
[5] Training Error = 0.051983
[6] Training Error = 0.022450
[7] Training Error = 0.026517
[8] Training Error = 0.044883
[9] Training Error = 0.051483
[0] Coefficients:
COEFF   0.101596,277,64
COEFF   -0.122486,387,64
COEFF   0.102010,276,64
COEFF   -0.084683,269,0
COEFF   0.083301,597,0
COEFF   -0.089191,153,0
COEFF   0.087409,207,192
COEFF   -0.097694,595,192
COEFF   0.079493,292,64
COEFF   0.082908,509,0
COEFF   -0.090901,330,0
COEFF   0.083660,287,192
COEFF   -0.093925,412,0
COEFF   -0.087422,434,192
COEFF   0.077228,372,64
COEFF   -0.065678,267,0
COEFF   -0.070572,382,64
COEFF   -0.060551,387,0
[5] guessed 9493 out of 10000 (94.930000%)
[5] Test Error = 0.050700
[6] Coefficients:
COEFF   1.231567,72,0
COEFF   -0.628694,242,0
COEFF   0.605853,514,128
COEFF   0.453248,103,0
COEFF   -0.495780,657,0
COEFF   0.388233,601,64
COEFF   0.340612,402,128
COEFF   0.315994,414,0
COEFF   -0.357124,271,0
COEFF   -0.257134,211,0
COEFF   0.271484,348,128
COEFF   0.220027,550,0
COEFF   0.191543,544,128
COEFF   0.195063,133,64
COEFF   -0.258858,566,0
COEFF   0.199266,387,64
COEFF   -0.230843,296,64
COEFF   -0.176560,208,0
COEFF   0.157810,542,0
COEFF   0.149244,67,0
COEFF   -0.195382,245,64
COEFF   0.149151,400,64
COEFF   0.161562,459,192
COEFF   0.166179,601,0
COEFF   0.148951,388,64
COEFF   -0.169593,240,64
COEFF   -0.169225,327,0
COEFF   -0.146845,153,64
COEFF   0.154467,106,0
COEFF   0.161622,462,0
COEFF   0.153341,496,0
COEFF   0.149309,630,128
COEFF   -0.124106,653,0
COEFF   0.146412,164,64
COEFF   -0.144771,537,0
COEFF   0.114042,133,192
COEFF   0.138334,575,0
COEFF   -0.110930,514,64
COEFF   0.114277,484,64
COEFF   -0.112489,178,0
COEFF   0.112396,68,0
COEFF   0.139614,571,0
COEFF   -0.108170,211,64
COEFF   0.106040,403,128
COEFF   0.092406,408,128
COEFF   -0.091295,402,64
COEFF   0.091362,346,0
COEFF   0.095035,487,64
COEFF   0.107657,359,128
COEFF   -0.135116,218,0
[6] guessed 9749 out of 10000 (97.490000%)
[6] Test Error = 0.025100
[7] Coefficients:
COEFF   1.187066,740,0
COEFF   -0.613129,405,0
COEFF   0.492180,709,0
COEFF   -0.539642,155,0
COEFF   0.420202,231,0
COEFF   -0.399228,401,0
COEFF   0.318886,296,64
COEFF   0.309534,715,0
COEFF   -0.316851,578,0
COEFF   -0.284271,432,0
COEFF   0.231159,744,0
COEFF   -0.273023,540,0
COEFF   0.213836,679,0
COEFF   -0.224914,376,0
COEFF   0.168546,438,0
COEFF   -0.181043,603,0
COEFF   0.175717,266,128
COEFF   -0.168264,485,0
COEFF   0.186916,284,0
COEFF   -0.197780,580,0
COEFF   0.152523,311,0
COEFF   -0.169620,740,64
COEFF   0.157304,298,192
COEFF   0.137112,207,64
COEFF   -0.128999,212,0
COEFF   -0.132955,551,0
COEFF   0.127515,284,64
COEFF   -0.148356,158,0
COEFF   0.122987,434,192
COEFF   -0.127576,461,0
COEFF   -0.127322,348,0
COEFF   0.119931,295,192
COEFF   -0.115325,604,0
COEFF   0.112372,439,192
COEFF   -0.112973,569,0
COEFF   0.107251,678,64
COEFF   -0.117890,427,0
COEFF   -0.091232,349,64
COEFF   0.106702,340,128
COEFF   -0.111380,608,0
COEFF   0.101975,414,0
COEFF   0.106343,325,0
COEFF   0.092269,687,0
COEFF   -0.091690,459,64
COEFF   0.091152,411,64
COEFF   -0.094223,549,0
COEFF   -0.076196,318,0
COEFF   0.094381,319,192
COEFF   -0.086920,607,0
COEFF   0.084169,745,0
[7] guessed 9746 out of 10000 (97.460000%)
[7] Test Error = 0.025400
[8] Coefficients:
COEFF   1.112848,307,64
COEFF   0.463411,487,0
COEFF   0.460123,657,128
COEFF   0.388297,376,128
COEFF   0.301081,433,192
COEFF   0.294656,274,0
COEFF   -0.247536,439,0
COEFF   0.260582,660,64
COEFF   0.230385,542,0
COEFF   -0.194719,267,64
COEFF   -0.162458,428,0
COEFF   0.184469,304,0
COEFF   0.185900,379,64
COEFF   0.174371,300,0
COEFF   0.157201,155,0
COEFF   0.158593,290,0
COEFF   0.148498,663,128
COEFF   -0.172364,577,192
COEFF   0.139581,376,0
COEFF   0.145490,489,64
COEFF   0.136730,688,128
COEFF   -0.123649,571,192
COEFF   0.124490,321,64
COEFF   0.115412,627,0
COEFF   0.118031,303,0
COEFF   0.132140,433,0
COEFF   0.109585,287,64
COEFF   -0.114964,241,192
COEFF   -0.110062,574,128
COEFF   0.100159,516,0
COEFF   0.091841,691,128
COEFF   0.129030,184,0
COEFF   -0.103885,211,192
COEFF   0.105640,291,0
COEFF   -0.097291,523,0
COEFF   0.119199,313,128
COEFF   0.120821,182,0
COEFF   -0.110815,657,192
COEFF   0.087117,260,0
COEFF   -0.093386,399,0
COEFF   0.111414,332,64
COEFF   0.112996,436,0
COEFF   0.093329,350,128
COEFF   0.086189,355,0
COEFF   -0.080704,573,192
COEFF   0.079811,512,128
COEFF   -0.095005,468,64
COEFF   0.093371,340,0
COEFF   0.106929,630,0
COEFF   -0.088230,629,192
[8] guessed 9578 out of 10000 (95.780000%)
[8] Test Error = 0.042200
[9] Coefficients:
COEFF   1.126157,719,0
COEFF   -0.408740,156,0
COEFF   0.413793,712,0
COEFF   0.317196,211,64
COEFF   0.301481,715,0
COEFF   0.305314,401,0
COEFF   0.259548,381,192
COEFF   0.178426,708,0
COEFF   -0.231310,570,0
COEFF   -0.205513,232,0
COEFF   0.219762,369,64
COEFF   -0.196453,294,64
COEFF   0.163585,184,128
COEFF   -0.174473,629,0
COEFF   -0.188894,551,0
COEFF   0.149701,383,192
COEFF   0.143439,352,192
COEFF   0.147810,290,0
COEFF   0.127603,693,128
COEFF   -0.167190,217,0
COEFF   -0.115980,603,0
COEFF   0.129522,210,0
COEFF   0.126012,370,0
COEFF   -0.146878,231,0
COEFF   0.144397,694,64
COEFF   -0.145444,497,0
COEFF   0.120391,155,64
COEFF   -0.120094,569,0
COEFF   0.119395,328,128
COEFF   0.116055,378,0
COEFF   0.099405,464,128
COEFF   0.107663,695,0
COEFF   0.121797,212,0
COEFF   -0.104865,600,0
COEFF   -0.100588,577,0
COEFF   0.109178,153,64
COEFF   -0.110388,567,0
COEFF   0.101884,357,128
COEFF   -0.105743,203,0
COEFF   0.095556,745,0
COEFF   -0.097474,190,0
COEFF   0.092258,151,64
COEFF   0.090754,437,0
COEFF   -0.076792,547,128
COEFF   0.081930,424,128
COEFF   -0.101712,230,64
COEFF   0.089426,722,0
COEFF   0.091450,211,0
COEFF   0.073294,343,0
COEFF   -0.093178,495,0
[9] guessed 9495 out of 10000 (94.950000%)
[9] Test Error = 0.050500
Guessed 8695 numbers out of 10000 (86.950000%)
[1vA] Test Error = 0.130500
